# {"env_id": null, "t_start": 1552797576.7086205} 
r,l,t
1.787154,15,1.674855
1.303277,23,2.00306
2.076133,31,2.452016
2.436931,40,3.014794
2.035668,20,3.296657
2.056139,20,3.587662
1.663273,21,3.888934
1.975962,42,4.589288
1.861052,22,4.938198
2.459256,24,5.883843
0.837154,24,6.229214
2.119841,43,6.846902
2.087425,21,7.149392
3.214675,47,7.859806
2.603804,38,8.422127
2.314604,31,8.890738
2.207444,28,9.311214
1.923669,45,10.056807
1.810548,15,10.29087
0.194866,31,10.756582
2.536393,40,11.353993
2.353228,40,11.948627
2.42435,21,12.254267
2.21511,38,12.823686
2.308478,39,13.405294
1.872937,25,13.887479
1.343566,13,14.086941
1.891364,12,14.273322
2.458026,27,14.681975
1.632534,14,14.892983
2.043526,41,15.490259
2.082689,42,16.090825
1.434039,17,16.340127
1.431979,15,16.569226
1.969725,16,16.808068
1.416554,11,16.972472
2.228581,47,17.752416
2.304401,12,17.933992
1.416167,20,18.231956
2.300832,32,18.716147
2.368053,19,18.983305
1.385073,20,19.256392
1.828383,24,19.593303
1.889124,20,19.869216
2.11519,43,20.457561
2.145967,44,21.047632
1.712661,39,21.633018
1.759058,9,21.760136
2.564957,43,22.348235
1.10432,27,22.724348
1.922002,42,23.298722
2.306061,43,23.879783
2.004765,32,24.313356
1.422776,27,24.687557
1.389064,10,24.887542
2.444653,14,25.078364
2.621525,20,25.43687
2.342302,39,26.234916
1.741865,18,26.484329
1.89894,26,26.929856
1.765385,12,27.101678
2.516214,42,27.705413
1.352511,13,27.889805
2.45801,40,28.475161
3.000487,31,29.033587
1.686111,15,29.260946
2.056577,41,29.870706
1.455716,20,30.143804
1.892922,46,30.80141
0.192412,33,31.292732
1.30481,11,31.456104
0.918414,36,32.003571
3.6563,39,32.563339
1.848326,15,32.837768
1.045127,5,32.922798
0.521887,33,33.382508
1.904551,17,33.622366
2.199929,42,34.248762
0.909979,24,34.589013
2.088061,44,35.193626
3.031028,42,35.774125
2.038349,39,36.305273
1.880686,42,36.966677
2.18265,39,37.51713
2.139748,24,37.863006
2.5847,41,38.427407
1.665863,14,38.624037
1.994707,10,38.770613
2.444767,16,38.995435
2.138976,21,39.285492
1.971686,31,39.719341
2.782541,25,40.131112
2.001185,10,40.27987
1.563386,21,40.581832
1.418377,18,40.836339
1.471041,20,41.120382
2.596587,40,41.701563
1.605689,20,41.987341
2.497475,44,42.611247
1.957934,45,43.263535
0.651851,27,43.692489
1.312006,23,44.086229
0.928988,26,44.4572
3.123321,36,44.977728
2.449609,14,45.174954
1.770207,24,45.597602
3.010737,26,45.970531
1.270803,6,46.060064
2.569596,39,46.623923
2.133399,20,46.907815
2.066123,18,47.160346
0.768561,24,47.501792
2.281864,38,48.094372
2.230592,42,48.669251
1.778148,43,49.301357
1.840365,35,49.836321
3.083734,36,50.406685
2.742545,30,50.949729
2.214344,44,51.730785
2.992093,23,52.104126
2.103937,37,52.698006
2.052999,43,53.376859
1.780066,18,53.692488
2.136554,17,53.971874
0.697239,3,54.030008
1.927173,21,54.333833
2.30556,41,55.021082
2.757678,36,55.617668
1.028045,20,56.023078
1.168687,19,56.337773
0.138987,34,56.90169
1.407563,8,57.016344
1.336626,38,57.535541
2.24654,27,57.902307
2.312977,48,58.57123
0.144762,34,59.038842
1.045054,14,59.233679
2.706236,33,59.746018
2.165263,19,60.005842
1.424045,6,60.09329
1.869111,17,60.33249
2.614962,23,60.653332
1.68044,11,60.815882
0.184843,35,61.378302
1.568135,29,61.783889
2.025737,40,62.326846
2.075212,37,62.835234
2.699226,26,63.188586
1.575318,20,63.530332
2.155624,46,64.14438
2.017719,14,64.341664
1.570304,26,64.720912
1.768806,19,64.979107
2.019447,18,65.226798
2.654972,18,65.477133
2.42409,41,66.060637
1.013529,5,66.132928
2.410304,43,66.719375
2.252559,33,67.231715
2.073371,41,67.793857
2.648906,33,68.238719
2.132384,17,68.473666
2.705091,45,69.076515
1.667486,9,69.207646
2.028795,33,69.659232
1.541896,16,69.885811
2.532156,32,70.32057
0.516002,31,70.812693
2.589787,25,71.156923
1.455392,18,71.40796
1.897676,42,71.98087
2.454104,39,72.514665
2.443504,28,72.899074
1.463664,12,73.063879
1.087544,25,73.407655
2.341393,36,73.899622
2.106839,45,74.581927
2.047176,32,75.032116
1.681325,37,75.57462
1.980329,29,76.000278
1.954928,37,76.513009
1.719387,18,76.77143
2.351519,44,77.381583
3.017861,43,78.04961
0.450435,34,78.519772
1.854005,12,78.691252
1.984223,36,79.176245
1.997502,21,79.471751
1.759993,25,79.814716
1.187747,24,80.140336
1.099064,35,80.626721
1.903751,17,80.862773
2.193666,42,81.500324
1.865031,24,81.824983
1.337887,18,82.112422
2.420841,41,82.697825
1.980855,38,83.209066
1.438268,26,83.562523
2.74797,39,84.085703
1.250301,11,84.24162
3.448151,27,84.609204
2.077308,39,85.199288
2.071079,32,85.635556
1.329281,17,85.874413
3.273556,36,86.364273
2.312907,27,86.743671
1.752622,46,87.362048
1.769886,22,87.668614
2.1966,31,88.093159
3.946184,45,88.783783
2.282124,28,89.1676
0.795258,26,89.532073
1.94979,17,89.770165
2.122701,41,90.325281
1.659217,16,90.549692
1.148386,24,90.879225
0.915582,4,90.939167
2.208223,45,91.561909
0.496928,32,92.000141
2.355068,40,92.616853
2.235562,38,93.128018
1.572604,27,93.501365
2.395289,46,94.117325
2.234354,45,94.734005
1.610753,10,94.872653
1.37906,16,95.089975
1.104013,26,95.449045
1.272972,21,95.80615
2.086446,22,96.113217
1.554998,22,96.420916
0.842531,7,96.527089
1.796286,22,96.830776
2.601828,31,97.31269
2.051598,44,97.926658
1.77107,11,98.078568
2.568927,13,98.264793
2.539538,41,98.842223
1.914511,34,99.352702
2.049321,17,99.707819
1.812414,15,99.923221
2.440052,19,100.222003
1.520344,43,101.105875
0.164017,37,101.678355
2.680346,31,102.116407
1.951179,17,102.355833
1.361954,28,102.748363
2.420166,39,103.274006
2.3883,40,103.868806
1.991243,17,104.097121
3.14622,36,104.576128
1.604273,21,104.855774
2.32638,38,105.352716
1.493767,31,105.764957
2.399507,45,106.366691
2.048396,26,106.716458
1.648601,26,107.115427
1.58313,22,107.412168
1.529333,23,107.725335
2.544127,39,108.254432
2.1388,23,108.567137
1.924798,43,109.140993
2.307807,19,109.400417
3.31672,28,109.779399
1.657031,20,110.055105
1.640629,11,110.206841
1.878627,43,110.856049
1.200666,7,110.954412
0.190526,32,111.384049
2.31457,44,111.971481
2.733477,42,112.533264
3.286561,38,113.036929
1.704841,41,113.583239
2.14365,18,113.826318
1.594451,15,114.093679
1.985568,15,114.295357
2.078266,65,115.163478
2.918753,47,115.79456
3.527266,35,116.256616
1.863111,14,116.449617
2.059362,26,116.800193
2.350811,44,117.382416
2.704346,38,117.950411
1.848239,17,118.179612
3.224678,31,118.612032
2.38849,36,119.092525
1.507017,14,119.28146
2.938006,37,119.775344
2.808358,24,120.101191
2.655152,29,120.491275
1.77861,12,120.656671
2.321686,49,121.379358
2.502205,41,121.949555
1.144988,21,122.243815
1.928975,41,122.814051
2.239133,19,123.077571
1.147709,9,123.205343
