# {"t_start": 1553409298.3841975, "env_id": null} 
r,l,t
50.153942,26,2.118607
66.969115,31,2.226223
126.458783,48,2.395439
61.900662,26,2.48611
63.717395,27,2.578844
69.047792,32,2.689038
97.076468,41,2.803492
81.564413,39,4.212403
121.149655,57,4.409929
108.446972,56,4.607637
69.856819,36,4.731519
58.030159,24,4.813909
147.812794,83,5.461917
110.048144,47,5.625191
107.278708,59,5.830072
54.770988,25,5.916329
80.142116,32,6.027764
65.831981,29,6.12796
84.232041,37,6.256059
92.670123,40,6.757079
67.528099,35,6.882364
50.490264,24,6.965974
64.916017,29,7.065717
54.610645,26,7.154859
102.60045,46,7.314839
80.953714,33,7.429909
106.389549,44,7.935381
77.101931,34,8.056452
82.439494,38,8.188313
75.675343,31,8.294219
66.072613,35,8.416314
109.838458,47,8.579186
52.916652,24,8.659143
72.048197,37,8.787443
83.274808,39,9.277196
81.298533,35,9.397529
60.938398,27,9.491239
112.971689,46,9.650361
84.286852,47,9.813318
68.498864,30,9.916854
69.443763,37,10.403826
70.355073,30,10.50623
160.010669,64,10.727894
81.774816,35,10.850233
87.53013,40,10.98853
63.749813,32,11.098641
69.326191,30,11.202959
134.865915,51,11.739844
108.850775,44,11.895928
55.784903,30,12.000541
85.530642,44,12.151634
63.423972,30,12.256349
93.451088,37,12.384269
56.635602,24,12.467252
82.842742,34,12.93878
95.427132,52,13.117952
60.468363,29,13.218896
92.950809,39,13.354164
111.273807,50,13.528003
112.053622,59,13.733011
154.014154,61,14.297421
55.80564,26,14.387686
72.984591,29,14.48784
120.212687,49,14.660799
99.978874,51,14.837032
109.187539,50,15.010843
135.393258,59,15.571455
92.493318,40,15.710133
130.576661,54,15.897248
166.681464,64,16.117327
84.959515,38,16.249304
67.807475,29,16.707287
84.355111,38,16.839449
131.825031,67,17.076235
73.678727,33,17.190265
85.76178,44,17.345468
102.51489,54,17.882275
163.327272,63,18.107898
92.203113,38,18.239475
71.39951,31,18.346817
108.573209,45,18.50202
149.605752,62,18.714723
154.779633,65,19.296622
71.06565,39,19.432322
130.340308,60,19.641222
90.813168,37,19.768636
105.320425,40,19.910491
178.801264,74,20.514393
80.363894,39,20.651823
133.812721,56,20.855575
163.94374,59,21.063138
104.360037,42,21.207962
126.998744,55,21.744248
169.92844,74,22.001632
93.043707,36,22.129091
253.959618,128,22.925461
279.221002,115,23.3228
92.357626,46,23.480044
150.335683,70,24.082703
163.025023,74,24.342045
91.085233,36,24.465357
140.994552,62,24.681502
108.540288,49,24.854506
151.683002,71,25.449998
105.707038,46,25.606503
88.563572,40,25.74428
86.481688,32,25.852786
113.602606,46,26.009806
207.84736,83,26.68615
125.613509,67,26.919841
70.549595,31,27.026103
168.364979,70,27.268009
211.749836,80,27.917767
68.969547,33,28.032211
186.705555,79,28.302756
182.346127,80,28.579622
175.491444,83,29.235352
177.00364,78,29.509127
134.502276,60,29.716042
59.332782,31,29.82371
116.306,54,30.369931
151.037291,86,30.663832
76.349757,33,30.776541
152.902068,63,30.996803
71.680517,38,31.127443
153.33299,68,31.729661
167.846791,61,31.942318
140.637291,57,32.13764
160.777457,68,32.374526
142.853144,70,32.973838
121.869816,51,33.149453
150.044422,58,33.352423
69.220102,30,33.456948
171.979704,81,34.093797
161.277833,59,34.301682
130.950086,50,34.473953
122.975352,48,34.639613
74.805214,30,34.742738
96.97543,46,34.905477
168.37805,66,35.488398
188.74217,80,35.765087
180.394684,70,36.011944
129.274013,48,36.182366
109.027974,49,36.699381
107.540835,58,36.900545
218.077925,93,37.223445
74.216562,42,37.367532
147.028803,91,38.045481
141.380614,57,38.239434
158.254891,65,38.462915
224.423128,79,39.091674
196.313772,69,39.33537
103.261104,42,39.479742
159.419924,66,39.708132
220.152575,85,40.364154
182.967655,87,40.666404
191.130623,78,40.937685
196.202047,85,41.589941
104.836592,42,41.733414
158.808227,67,41.963887
217.073322,94,42.287355
95.963116,68,42.892911
91.480972,46,43.054414
165.02598,69,43.294316
87.641569,34,43.413761
107.313144,44,43.565034
133.83371,49,44.086801
150.8597,54,44.271079
203.55381,85,44.565213
72.935217,36,44.691782
239.322055,96,45.388348
134.710608,59,45.59067
154.139045,64,45.812211
86.397334,36,45.936973
168.863625,61,46.148205
91.370326,43,46.66311
143.03337,58,46.867423
142.975078,65,47.090689
159.587934,62,47.307165
133.851634,54,47.857332
111.037476,49,48.028862
205.665036,88,48.333001
206.770006,93,48.651603
181.302888,71,49.257884
210.192302,76,49.524667
71.142235,31,49.631881
148.78351,63,49.852209
124.290933,53,50.392951
118.084182,54,50.583405
140.844648,50,50.755657
144.959517,60,50.964176
158.298582,67,51.556939
110.562,41,51.697355
213.136928,95,52.027638
102.016359,56,52.223847
279.699161,105,52.954782
143.022365,57,53.160911
256.724227,100,53.507009
339.323111,136,54.338541
92.472469,40,54.481437
129.603324,65,54.706569
133.912237,57,54.911641
195.945245,75,55.513616
193.761584,77,55.7801
140.859873,60,55.992607
164.875607,60,56.559583
115.212345,51,56.735943
137.907093,56,56.929294
91.023993,52,57.118687
200.443183,100,57.813335
141.295219,67,58.047917
170.406507,76,58.307955
264.583308,119,59.100596
181.773515,67,59.334536
118.286661,50,59.515246
246.897378,99,59.862
106.107606,43,60.354382
139.144954,53,60.539859
121.062675,50,60.7138
141.500799,62,60.931548
245.854276,97,61.618778
203.26385,80,61.895541
128.038594,72,62.142341
146.927341,68,62.377258
115.837601,53,62.928503
221.565144,87,63.227721
217.077346,90,63.542335
137.728631,71,64.140423
69.388876,32,64.256977
143.700574,60,64.466398
109.313705,46,64.623717
143.401454,57,64.821286
180.931234,86,65.474406
149.961241,62,65.686455
66.158195,36,65.811204
136.41585,65,66.039099
185.124394,71,66.645401
266.201926,132,67.106881
216.342645,79,67.383379
209.511597,75,67.996685
169.940775,78,68.269809
190.956914,80,68.546574
160.895641,58,69.104203
155.619269,61,69.318273
226.544274,97,69.665747
158.325689,64,69.889053
176.891785,63,70.452811
185.282773,80,70.728599
202.824359,72,70.980005
167.75361,75,71.598954
258.510212,101,71.951627
170.623689,95,72.295369
125.492299,60,72.849583
188.2932,84,73.145285
179.179833,72,73.407634
217.985588,87,74.050365
99.693474,40,74.188547
153.932177,71,74.436435
100.636717,38,74.568609
216.195965,79,74.841894
131.793372,74,75.46358
88.276937,46,75.622244
185.225031,89,75.930306
297.032466,116,76.695408
102.800603,44,76.84756
203.422458,72,77.097311
126.018627,52,77.271371
312.142082,144,78.144118
228.71629,87,78.442111
138.467232,56,78.638471
121.736564,55,79.198254
194.075288,101,79.550292
249.867059,133,80.375433
184.640607,71,80.627106
202.409711,90,80.934773
182.895882,68,81.170472
179.168946,58,81.733938
128.48549,56,81.927251
205.852324,78,82.197088
164.676771,77,82.826037
141.433128,56,83.023442
186.987978,90,83.335944
60.545943,27,83.428585
136.777714,55,83.61756
150.508906,61,84.183944
131.485353,63,84.402469
102.677416,40,84.541438
173.409596,64,84.760712
116.403779,51,85.296005
176.914482,67,85.526823
148.682076,60,85.734374
122.753821,55,85.923291
159.060135,64,86.141917
193.294214,89,86.813731
234.075457,92,87.137693
280.008559,130,87.945962
118.145244,49,88.121669
182.867416,70,88.367211
118.161626,48,88.532415
126.72978,56,89.085886
211.747314,72,89.335772
197.434444,71,89.580913
109.194194,46,89.743387
178.961949,62,90.308877
188.278067,73,90.560459
157.044104,61,90.77053
92.168296,45,90.925598
171.88639,75,91.546364
145.844732,60,91.757975
173.955147,67,91.991173
207.604114,82,92.273289
170.713628,74,92.888613
306.120669,111,93.275165
248.901581,82,93.556033
135.171025,55,94.103729
158.18713,70,94.345762
168.638476,73,94.596708
234.407284,104,95.322595
65.390425,27,95.416352
221.561392,98,95.751081
110.824189,48,95.915723
154.770907,57,96.112245
172.615638,95,96.809305
149.60156,60,97.014833
169.841437,69,97.255636
171.871715,79,97.891744
194.101914,68,98.132246
254.116977,101,98.482488
245.171917,102,99.187058
218.607342,89,99.489972
129.5047,57,99.686392
190.681962,92,100.374429
246.744946,107,100.741531
212.189168,81,101.032362
269.927682,121,101.81085
259.936094,106,102.182875
140.979921,65,102.764637
205.75747,84,103.053432
191.619631,86,103.34745
143.705559,65,103.572075
201.831068,88,104.254358
116.638294,44,104.406416
306.895289,105,104.789402
146.160294,76,105.398189
406.071645,177,106.006515
193.780621,82,106.661067
170.485361,67,106.890101
151.073623,66,107.115932
158.487966,76,107.380849
294.657249,103,108.10244
149.987115,78,108.374454
221.542299,87,109.036422
122.860254,62,109.250349
205.510126,81,109.527034
211.543888,86,109.822069
180.388205,71,110.448944
178.007099,80,110.729904
258.547735,92,111.042248
165.547656,72,111.655619
163.428361,58,111.855238
190.139969,64,112.076704
190.629914,96,112.768433
147.198132,59,112.972753
173.711487,71,113.218599
201.484045,105,113.584602
370.918554,137,114.423781
91.745851,36,114.548925
216.032357,82,114.830791
207.854293,105,115.555207
174.924688,94,115.877918
174.661348,87,116.547912
151.400951,56,116.745655
160.527885,61,116.955558
162.599166,57,117.151167
126.280041,44,117.301671
185.949301,84,117.951869
256.264648,103,118.310243
105.389915,44,118.462024
159.651719,61,119.035992
227.270421,86,119.330462
236.385053,82,119.620169
209.841657,87,120.281229
209.854868,95,120.611789
167.786527,61,120.8244
151.498776,57,121.0224
166.788008,81,121.668942
247.412817,98,122.009769
141.787956,58,122.209665
169.306075,73,122.829256
178.90407,78,123.096795
283.576521,118,123.504935
105.807307,39,124.003482
169.850105,77,124.272754
268.803519,92,124.593211
279.520492,99,125.289522
197.662018,95,125.619015
183.152668,66,125.846554
223.912202,87,126.507857
295.506898,102,126.861428
240.918944,81,127.146605
200.010126,66,127.376792
236.865386,87,128.02941
257.033384,103,128.390385
154.359083,66,128.621067
108.453042,47,129.137769
257.52597,107,129.50618
174.610181,66,129.734848
158.093823,68,130.330543
168.736886,68,130.566206
127.107099,47,130.731591
420.340588,140,131.575226
203.640131,91,131.892541
241.202476,79,132.167324
225.426712,78,132.792626
204.310481,94,133.119226
174.988514,71,133.364329
208.789952,78,133.996621
233.463362,96,134.326932
141.34091,52,134.514961
234.242699,97,134.851392
223.608181,76,135.470219
158.465069,60,135.680322
154.289468,55,135.870536
194.886468,86,136.52725
224.370101,72,136.787393
201.811107,87,137.088248
257.613804,80,137.713324
226.300235,70,137.955273
365.01236,126,138.399076
337.664729,129,139.200568
528.080571,177,139.816267
204.56661,85,140.464496
396.455512,130,140.917516
229.455417,86,141.570816
329.329157,112,141.960886
266.018828,108,142.33535
159.856325,85,142.982843
270.174101,92,143.30519
204.028312,78,143.57537
216.827102,80,144.214141
176.041802,71,144.462236
159.946653,61,144.674968
316.246964,129,145.474986
220.931723,73,145.730149
276.764788,93,146.057451
274.615593,102,146.761648
198.200614,84,147.055994
257.16326,85,147.700687
152.436432,58,147.90003
338.5908,126,148.330486
179.121792,73,148.963568
131.979911,56,149.156404
223.604754,79,149.428586
229.860624,101,149.777953
347.40513,99,150.483124
304.741431,94,150.80778
369.548381,155,151.701199
153.631048,54,151.887597
215.24115,72,152.14096
152.878331,61,152.706342
106.139339,40,152.843124
156.027445,61,153.055843
214.332184,85,153.347772
173.108247,77,153.980188
248.682271,86,154.284461
217.043674,91,154.602214
155.274783,62,155.170298
176.920828,59,155.376449
187.000873,65,155.601028
235.72498,101,155.955607
307.054362,135,156.783606
173.229746,72,157.030139
187.138952,95,157.717389
194.267839,74,157.970242
278.465234,102,158.31882
186.004094,75,158.950771
224.669995,78,159.223194
267.793088,88,159.529918
158.2516,86,160.186314
303.576832,117,160.59531
156.958305,69,160.831265
216.039819,74,161.445103
336.825326,109,161.824353
210.30581,80,162.100484
212.427402,92,162.774651
350.05434,125,163.204452
196.914037,73,163.456554
202.578879,66,164.049894
173.404184,66,164.278501
167.167346,63,164.49324
143.616251,52,164.67353
185.288575,87,165.340504
153.17736,56,165.533595
205.405865,88,165.838294
195.489127,84,166.493918
217.762679,96,166.829151
154.055931,65,167.053506
234.857148,98,167.757826
207.541278,82,168.039081
420.734404,140,168.52573
240.153801,97,169.221592
227.555223,100,169.56853
136.226095,50,169.740535
265.150526,90,170.416857
182.10116,67,170.648224
209.443481,120,171.432708
103.997548,50,171.609244
240.322833,80,171.888855
158.159477,59,172.093811
286.05862,109,172.823904
171.94986,69,173.063275
232.489136,86,173.364419
236.102945,87,174.024446
235.273778,84,174.316825
254.456962,104,174.679878
248.72022,90,175.342193
170.205148,64,175.567048
168.363471,72,175.817268
194.434701,76,176.438526
454.36235,138,176.919095
136.238031,54,177.109596
197.954989,91,177.776793
264.896953,105,178.134422
273.896921,123,178.928288
284.538162,97,179.264978
168.829102,61,179.478447
256.304942,127,180.271611
156.473608,55,180.469191
104.383978,44,180.622118
232.539217,92,180.945434
169.66797,80,181.570068
224.139187,104,181.932685
182.435748,72,182.180832
137.517159,48,182.71081
269.719552,97,183.053045
322.950406,111,183.440849
209.310739,101,184.149155
350.757641,119,184.563904
163.502965,79,185.190077
180.069487,77,185.456983
207.074621,81,185.737825
186.448007,64,185.955703
206.657526,98,186.663578
279.843951,130,187.118528
369.625088,129,187.915893
154.389876,61,188.125064
239.058108,87,188.426526
201.875477,70,189.034667
224.517931,107,189.407322
211.014317,97,189.743738
142.641725,52,190.282335
179.735633,77,190.553647
272.563597,102,190.908304
169.192405,101,191.608262
223.712855,76,191.876282
408.274675,131,192.683197
249.695924,88,193.00151
195.499586,75,193.259448
338.558886,118,194.020226
323.896834,104,194.383255
238.609782,86,194.683455
174.604987,64,195.265892
204.239304,83,195.560322
365.617705,119,195.985236
210.680691,73,196.591464
254.749937,104,196.954565
340.424792,113,197.703539
129.196653,50,197.877203
187.174607,75,198.137077
264.542866,95,198.465306
232.635761,76,199.09031
220.113097,97,199.419712
304.746742,107,200.16095
238.250484,94,200.482297
242.799259,87,200.785578
274.300117,139,201.635429
221.989233,89,201.947297
250.130709,105,202.660669
209.52045,79,202.937566
284.14387,113,203.330033
161.629161,77,203.97805
245.717619,102,204.332393
254.776859,81,204.611587
456.282503,160,205.51873
218.523209,88,205.820761
235.963591,90,206.493877
253.861495,86,206.789112
196.037638,68,207.022273
172.541553,66,207.616081
259.381898,111,208.001818
274.349417,91,208.318175
192.19164,78,208.944075
248.128066,86,209.240479
262.570346,96,209.572608
222.092131,80,210.209455
344.776295,138,210.690907
207.005225,82,210.974108
153.480585,62,211.550873
237.841347,91,211.871413
245.666702,112,212.624134
168.368279,58,212.823191
307.829036,113,213.212853
163.739942,71,213.460905
224.19329,86,214.117854
403.741283,131,214.565433
236.706987,84,215.22504
215.986668,91,215.537001
205.761921,95,215.865473
279.836016,124,216.66142
158.180695,73,216.915377
293.591535,110,217.65203
130.26087,48,217.820861
333.182868,109,218.201657
223.648436,85,218.849622
342.004392,115,219.246914
231.429185,107,219.613713
156.887736,59,220.186245
271.930156,83,220.474293
217.925386,85,220.767055
214.434103,86,221.425296
229.238292,83,221.711135
223.221857,87,222.012591
218.996188,86,222.67211
355.528252,122,223.093296
279.699967,91,223.411256
240.218586,85,224.066207
218.510928,79,224.33782
303.116974,101,224.685804
216.697912,92,225.367524
357.653984,136,225.833595
213.911699,81,226.475296
305.130611,93,226.79847
283.245331,111,227.183351
168.655855,54,227.746539
245.595065,112,228.133989
334.160051,136,228.964298
226.223087,76,229.224124
264.182962,93,229.544488
244.346876,83,230.197349
261.972579,87,230.498738
299.486335,98,230.84503
219.795581,78,231.473208
625.728604,178,232.087947
181.85079,75,232.707777
466.950179,137,233.175355
192.368522,77,233.818042
265.901275,93,234.140752
224.854524,83,234.425848
333.765135,112,235.179359
212.242135,73,235.431669
258.03029,84,235.722527
306.704305,106,236.472793
212.887333,74,236.728068
192.558602,69,236.967504
277.665065,110,237.709848
247.167926,101,238.055443
295.754294,115,238.456674
396.338173,141,239.313869
360.583292,126,240.100048
205.796096,94,240.42875
244.410309,88,240.738513
133.747775,49,240.914914
198.533186,82,241.546866
264.036321,104,241.90878
267.58169,117,242.674225
310.595146,101,243.025792
333.589067,99,243.368318
280.78165,120,244.139099
221.302019,88,244.446992
205.407201,85,245.104751
179.822775,70,245.344169
345.571651,129,245.796088
220.897432,82,246.445905
221.931356,76,246.711231
262.768451,85,247.004805
151.908706,59,247.209816
284.860861,98,247.916359
238.449515,89,248.223233
387.139211,125,249.016299
360.192752,106,249.386032
311.284786,105,250.110868
310.8528,120,250.524855
180.568124,67,250.757736
178.131922,73,251.374232
