# {"env_id": null, "t_start": 1553348844.0599759} 
r,l,t
1.044413,19,2.300022
1.360483,20,2.46683
1.141199,25,2.664397
1.172134,26,2.877763
0.743662,46,3.252472
0.968133,21,3.420711
1.924191,27,3.634646
0.909723,15,3.755363
1.072034,31,4.008427
1.323231,34,5.646632
0.291505,22,5.830149
0.976418,18,5.980736
1.013656,22,6.164333
1.921678,34,6.445534
0.650581,17,6.582713
0.946295,17,6.719114
1.163196,18,6.868132
1.7947,38,7.182701
0.58861,23,7.366785
0.099245,34,7.647306
1.401151,26,8.241774
0.971002,19,8.39522
1.226734,23,8.58212
2.194416,49,8.979381
0.881516,15,9.101283
1.084859,18,9.255568
0.625288,54,9.699845
1.280524,25,9.902208
1.978211,36,10.712354
1.451813,32,10.977775
1.088916,28,11.211351
0.791469,17,11.34799
0.595043,22,11.533373
0.972166,16,11.670278
0.922052,24,11.8713
0.596995,43,12.219794
1.241896,35,12.505029
1.177084,20,12.673546
0.587447,41,13.578064
0.903502,17,13.717384
1.134245,29,13.951285
1.566841,32,14.218889
0.849369,14,14.336731
0.746041,28,14.569822
1.791513,29,14.8057
1.0303,16,14.944222
1.249331,21,15.113061
1.393368,54,16.036517
1.855058,31,16.2939
0.459262,20,16.461527
1.153901,20,16.632025
0.876861,27,16.850777
1.862034,32,17.119025
0.699379,27,17.337548
1.081459,21,17.50941
1.234005,19,17.663297
1.219176,28,17.899831
1.586139,31,18.524202
0.977611,28,18.761512
0.966814,22,18.947552
1.229986,25,19.149071
1.364973,27,19.366964
0.561528,21,19.537209
0.838186,28,19.770651
0.95433,16,19.903548
0.567552,19,20.055978
1.637937,31,20.304873
0.754351,35,20.999655
0.894507,15,21.121435
0.042699,20,21.291817
0.577062,30,21.543203
0.251926,12,21.646992
0.705939,25,21.850666
1.388245,34,22.131855
0.860611,15,22.252676
0.03239,30,22.501414
1.448142,25,22.70546
1.178744,19,22.858777
0.477144,17,22.995588
0.881925,15,23.558586
0.714794,21,23.727795
1.381413,27,23.949011
1.474125,28,24.184775
1.223731,39,24.499442
0.963322,19,24.657011
1.502906,58,25.139201
1.177098,35,25.424252
1.957098,47,26.206654
1.423804,23,26.390704
0.881381,23,26.576068
1.153989,16,26.712749
1.796391,36,27.016197
1.2833,31,27.271233
0.520205,36,27.569008
1.25138,22,27.756276
0.891981,21,27.925516
1.84724,37,28.626981
0.84185,42,28.969883
0.9737,30,29.219038
1.341916,20,29.385073
0.300729,33,29.651648
1.621773,24,29.853249
0.274827,20,30.019621
1.24665,36,30.331697
1.668769,26,30.550473
0.919317,21,31.193349
1.833739,29,31.427762
1.162409,26,31.646919
1.271927,25,31.850446
1.306186,21,32.021946
0.841198,34,32.308021
0.257178,21,32.478882
1.147229,21,32.648805
0.72113,28,32.88516
1.23926,22,33.07184
1.498369,27,33.743901
1.204352,26,33.96242
1.611805,23,34.149166
0.849363,18,34.303261
1.539598,25,34.507059
1.4831,29,34.743167
1.335299,31,34.994325
1.586541,38,35.307568
1.745269,34,35.591288
1.051839,19,35.748132
1.430391,23,36.345931
1.224151,30,36.593997
1.706208,33,36.860311
0.465203,27,37.081744
0.725041,42,37.428777
0.035732,18,37.579505
0.715237,17,37.718095
1.258138,23,37.904118
1.788935,24,38.103558
1.28017,26,38.771826
0.099946,35,39.057195
0.478825,26,39.2758
1.389601,38,39.593834
1.680208,39,39.91585
1.675847,23,40.104399
1.618438,44,40.470745
1.669743,34,40.75123
1.891601,32,41.37648
0.043383,16,41.511912
1.621596,29,41.747823
1.744932,28,41.976656
1.219396,25,42.175551
1.266705,21,42.34576
1.114306,26,42.560879
1.165799,28,42.794128
1.878486,41,43.124262
1.36274,30,43.780635
0.674636,27,43.995793
1.53004,33,44.2572
2.163047,43,44.601466
0.945066,33,44.86552
1.543261,24,45.062815
1.619891,30,45.317761
1.747327,30,45.567133
1.585084,23,45.751379
1.419287,23,46.350851
1.395728,48,46.748274
1.696321,35,47.037485
1.795932,27,47.25462
1.008232,36,47.552406
1.333621,43,47.900155
1.343633,29,48.139065
0.150931,40,48.869071
1.242228,18,49.026122
1.586845,40,49.358799
1.294174,19,49.511301
0.886096,19,49.667078
1.337031,23,49.85196
1.041426,38,50.168916
0.359885,14,50.288858
1.200316,25,50.491996
0.998851,17,50.627347
1.798772,37,51.377149
1.158791,21,51.549339
1.143041,34,51.828701
1.025973,27,52.0485
0.741766,26,52.269597
2.252166,54,52.711459
1.562948,22,52.896085
0.188426,33,53.162949
1.106408,35,53.851039
1.89259,27,54.069683
1.469412,33,54.339171
1.278053,27,54.556444
1.501522,30,54.807652
0.391124,22,54.991726
0.875827,37,55.294313
2.29297,42,55.638537
1.479532,36,56.34195
1.659568,32,56.6067
0.918229,35,56.888348
2.343543,34,57.173175
0.653809,67,57.719344
1.279635,20,57.888831
1.164319,22,58.074969
1.555114,26,58.292318
1.89673,32,58.919632
1.788573,28,59.157264
0.63082,53,59.589572
1.650701,37,59.894393
0.965184,17,60.032747
1.257568,59,60.516075
0.934483,36,60.817129
2.334531,44,61.604451
1.081186,20,61.771215
1.579011,25,61.973043
0.222559,15,62.093099
1.516603,26,62.310823
1.638146,25,62.509364
1.300254,27,62.729504
1.747324,47,63.112675
1.128512,20,63.280416
1.564408,26,63.921235
0.097669,34,64.207521
1.350801,21,64.379827
1.310693,22,64.56666
1.567918,26,64.784883
1.70771,28,65.019724
1.377104,20,65.190194
1.700708,42,65.538093
1.334084,29,65.776777
0.430563,18,65.931658
1.094537,31,66.544233
1.409491,28,66.776945
0.924042,16,66.911554
0.454291,20,67.077905
1.577072,25,67.279742
1.871216,31,67.530864
1.437455,22,67.715947
1.553575,32,67.979533
1.371779,32,68.246174
1.594442,32,68.943216
1.583215,23,69.132135
1.26249,20,69.3005
0.881126,25,69.502722
0.930468,52,69.9392
0.570987,18,70.091288
0.043125,22,70.277092
2.925865,38,70.592479
1.697545,31,70.844532
1.0237,30,71.468911
1.106164,26,71.683213
1.893999,38,71.997585
1.211843,34,72.28378
1.568665,28,72.517194
1.269574,39,72.832728
0.780847,33,73.096865
0.588359,23,73.282952
0.946634,19,73.438668
1.841658,31,74.12859
1.523281,34,74.409174
1.367362,42,74.753944
1.662908,31,75.009216
1.816815,51,75.422952
2.758109,46,75.802014
1.307319,24,76.001021
1.782721,49,76.845561
2.29234,35,77.132999
0.860025,32,77.397661
1.599059,25,77.598992
1.662716,42,77.950285
1.379216,39,78.2704
0.059592,34,78.551641
1.080419,20,79.118051
1.49695,25,79.322205
1.700925,25,79.525249
1.551229,25,79.730791
1.770856,28,79.965528
1.192649,39,80.285674
1.143234,25,80.490149
1.953333,28,80.726587
1.595412,25,80.930775
1.859094,39,81.664725
1.608867,28,81.897854
1.60808,30,82.148136
1.029999,27,82.366098
1.650383,29,82.602524
0.81609,42,82.954154
1.946151,37,83.259797
1.439412,35,83.551103
1.494125,39,84.235527
1.326862,26,84.454827
1.406555,41,84.789475
1.434667,27,85.005194
1.766759,42,85.354954
1.441133,19,85.507147
1.71923,36,85.802214
0.653566,26,86.020083
1.185194,22,86.655971
1.528398,25,86.863987
0.511612,32,87.131218
1.857207,40,87.46051
0.066364,40,87.788633
1.221586,54,88.231339
1.469781,27,88.445787
1.441184,30,89.089374
1.461675,65,89.616003
0.833251,35,89.898949
1.280435,23,90.088398
1.070469,49,90.490453
1.117487,38,90.802723
0.258119,16,90.936372
0.845296,19,91.087838
1.358268,34,91.859508
1.751161,30,92.108512
1.699602,26,92.326435
1.811126,28,92.560645
1.696626,38,92.873444
1.371852,29,93.108211
1.443053,28,93.342816
1.619108,29,93.578683
1.291774,32,94.358217
0.920527,20,94.528654
2.424832,36,94.830294
1.77602,43,95.180024
2.046589,43,95.524692
1.762032,46,95.90528
0.257652,26,96.122934
0.953298,24,96.326964
1.428737,30,96.960442
1.400845,33,97.227378
0.62487,30,97.477675
2.064002,35,97.764162
0.968629,30,98.014369
1.681313,29,98.246534
1.403009,43,98.594136
1.188775,37,99.295601
1.393302,27,99.517105
1.666491,33,99.789133
1.539145,22,99.973046
0.762228,28,100.208313
1.783164,28,100.439761
2.438759,55,100.890063
1.422832,49,101.289303
1.637868,57,102.142244
1.81069,44,102.507222
1.574618,29,102.739158
1.505422,26,102.953514
2.034299,46,103.330993
0.560455,28,103.561681
1.172632,37,104.289227
1.315469,30,104.542959
1.861249,42,104.894567
1.904608,46,105.272626
1.608204,33,105.541664
1.357014,34,105.824812
1.660853,32,106.094103
1.119192,48,106.877949
1.560959,55,107.324957
1.773344,38,107.63977
2.218047,37,107.940234
1.674005,31,108.195499
2.041454,34,108.483739
1.31383,24,108.68535
0.4194,16,108.820476
1.670854,44,109.551413
1.664684,30,109.799708
1.750334,31,110.050859
1.639006,32,110.312881
1.589465,25,110.513727
1.599706,22,110.700274
2.36237,36,111.001312
1.460169,43,111.351964
1.810321,33,112.216966
1.620498,30,112.468084
2.058661,34,112.750647
0.55696,36,113.048656
0.685624,28,113.287447
1.061014,26,113.503335
1.465106,34,113.784785
0.918642,37,114.087037
0.231117,43,114.85004
1.660542,38,115.166116
1.277052,25,115.368098
2.073519,31,115.619583
1.507971,47,116.000267
1.424345,27,116.217005
1.698095,46,117.193658
0.269842,32,117.460175
2.011905,41,117.794838
1.090405,53,118.230595
2.489448,43,118.583199
1.630661,31,118.833061
1.907465,33,119.098238
1.600597,26,119.717048
1.905998,29,119.951924
0.735877,36,120.250525
1.316036,60,120.743833
1.798936,26,120.958577
1.352085,19,121.111109
0.997403,37,121.409937
1.248213,34,121.694285
1.333285,22,122.308803
1.878985,51,122.719062
2.125076,36,123.014539
0.992052,20,123.182198
1.514237,36,123.483506
1.559799,27,123.701568
1.448802,32,123.972924
0.956725,33,124.239349
1.811229,27,124.875398
1.204032,21,125.042148
0.586383,46,125.420138
1.644149,29,125.650521
1.938302,31,125.900424
0.091074,50,126.309923
1.177669,24,126.509595
1.680884,28,126.742143
0.453187,21,127.321149
1.691063,34,127.605235
1.403346,49,128.009196
0.812393,23,128.195781
1.057324,27,128.416521
1.959041,33,128.682865
1.051488,19,128.83422
0.967726,30,129.081983
1.068782,26,129.2999
0.565008,59,130.395049
1.779157,35,130.677506
1.734693,41,131.007097
1.640775,29,131.24059
1.807585,28,131.468637
1.431428,51,131.877507
1.671423,24,132.520667
0.694313,76,133.133653
1.176628,20,133.299886
1.533224,31,133.551215
0.100523,59,134.027334
2.064019,31,134.280709
1.504115,54,135.140872
0.24205,37,135.442046
1.240162,34,135.723178
1.300595,29,135.959132
1.30565,46,136.335354
3.289418,55,136.776978
0.887807,28,137.008986
2.586509,58,137.908317
1.488926,24,138.109176
1.059179,31,138.356414
1.533818,31,138.607524
1.967555,40,138.939537
2.177501,39,139.254499
