EpThisIter,EpRewMean,meankl,EpisodesSoFar,TimeElapsed,EpLenMean,TimestepsSoFar,surrgain,entloss,entropy,ev_tdlam_before,optimgain
8,1.9708303375877998,0.012916481,8,12.4484543800354,33.625,269,0.314713,0.0,39.721447,0.3965047597885132,0.314713
8,1.9102025863099017,0.013976963,16,23.59600520133972,33.1875,531,0.3467066,0.0,39.74552,0.65489062666893,0.3467066
9,1.8460191415810263,0.003950941,25,35.241355419158936,31.68,792,0.18596339,0.0,39.72766,0.6184514462947845,0.18596339
11,1.876495234856396,0.014629194,36,46.47715497016907,29.11111111111111,1048,0.36636627,0.0,39.727455,0.35483866930007935,0.36636627
9,1.7391090984494908,0.014859531,45,58.458229541778564,27.975,1290,0.4082115,0.0,39.683346,0.40074700117111206,0.4082115
9,1.7707503042336676,0.014326435,54,69.32658767700195,26.925,1549,0.35922098,0.0,39.660347,0.6154671609401703,0.35922098
9,1.803479844394404,0.004066659,63,80.17410373687744,27.125,1796,0.18457194,0.0,39.658817,0.566428005695343,0.18457194
10,1.7039735506714915,0.0038194424,73,90.9663143157959,27.2,2074,0.18339382,0.0,39.651695,0.3967321515083313,0.18339382
9,1.806605131660786,0.0038632278,82,102.32083654403687,28.15,2320,0.1802814,0.0,39.609947,0.6389447748661041,0.1802814
8,1.810050475047359,0.003920802,90,112.8014268875122,28.15,2585,0.19782665,0.0,39.64149,0.6798577606678009,0.19782665
10,1.7564962200896326,0.0038730993,100,123.43051433563232,28.125,2845,0.19104272,0.0,39.642582,0.5829810798168182,0.19104272
10,1.7791547089563686,0.0045209834,110,134.29226112365723,28.1,3117,0.20231815,0.0,39.625977,0.5869469344615936,0.20231815
11,1.8993785984817382,0.014111163,121,145.99471807479858,27.275,3372,0.32024354,0.0,39.636105,0.5966788232326508,0.32024354
9,1.9168730958482905,0.004414202,130,158.26213598251343,25.25,3595,0.20200016,0.0,39.615475,0.6948597431182861,0.20200016
8,2.0364822758096404,0.0137967225,138,169.0833854675293,26.125,3852,0.45766473,0.0,39.575672,0.551585465669632,0.45766473
8,2.037843427615974,0.0040450427,146,180.00346088409424,26.975,4114,0.19994882,0.0,39.58085,0.6716066300868988,0.19994882
12,1.9410647322767445,0.004251955,158,191.77341437339783,25.825,4358,0.20809922,0.0,39.57445,0.6391465961933136,0.20809922
9,1.9917007755712697,0.004028755,167,202.5249743461609,26.75,4600,0.20372608,0.0,39.576664,0.8029844462871552,0.20372608
9,1.950509929782634,0.0040158266,176,213.98167777061462,26.2,4828,0.18635151,0.0,39.602894,0.6686892807483673,0.18635151
10,1.936095369523357,0.0048203995,186,225.06906747817993,24.325,5087,0.21728253,0.0,39.583374,0.7465689778327942,0.21728253
7,1.974244776357894,0.004188958,193,235.65615439414978,26.35,5326,0.21113093,0.0,39.57971,0.7266534566879272,0.21113093
8,2.11337851971181,0.0042111604,201,246.1126732826233,28.45,5574,0.19854052,0.0,39.580162,0.7242762744426727,0.19854052
8,2.1212209779658835,0.014011108,209,256.7310297489166,29.45,5846,0.41659164,0.0,39.57472,0.8134608864784241,0.41659164
8,2.149005517370348,0.003985692,217,267.4828178882599,30.95,6108,0.22331524,0.0,39.568924,0.6659060418605804,0.22331524
9,2.1417036826467672,0.004365256,226,279.5338270664215,31.575,6350,0.21062137,0.0,39.592857,0.7770912051200867,0.21062137
9,2.12796651984162,0.0043628737,235,293.5429058074951,30.325,6611,0.21190356,0.0,39.579334,0.7505879104137421,0.21190356
11,2.132468002481896,0.003962942,246,315.9272060394287,28.175,6871,0.21968274,0.0,39.553944,0.7545766085386276,0.21968274
8,2.141676093357457,0.0042508617,254,327.55284690856934,27.45,7112,0.2153281,0.0,39.55592,0.7598447650671005,0.2153281
9,2.142837982408511,0.0042833183,263,338.0619955062866,27.05,7364,0.19441362,0.0,39.53849,0.7443766295909882,0.19441362
8,2.182426319425561,0.004148053,271,348.8465197086334,28.775,7625,0.21881601,0.0,39.531197,0.763633131980896,0.21881601
8,2.1119626246094034,0.0049192174,279,361.6574935913086,28.3,7850,0.27368623,0.0,39.53113,0.7113451063632965,0.27368623
11,2.117335534808305,0.0049077803,290,374.8890838623047,28.075,8115,0.20900476,0.0,39.52462,0.749137818813324,0.20900476
9,2.068999512330341,0.004325973,299,386.5403733253479,27.725,8367,0.18561408,0.0,39.531166,0.683817595243454,0.18561408
6,2.0833114165581446,0.00437524,305,398.67104148864746,29.175,8596,0.2128305,0.0,39.534916,0.8570174127817154,0.2128305
10,2.047061172218786,0.004315065,315,411.4837336540222,28.2,8857,0.2058304,0.0,39.52721,0.7856874763965607,0.2058304
8,1.967114843448049,0.0046082577,323,423.2730174064636,28.575,9112,0.21088225,0.0,39.5321,0.6667161285877228,0.21088225
9,2.0441120047526278,0.0046448456,332,434.4913806915283,29.8,9370,0.21955818,0.0,39.527454,0.8025877773761749,0.21955818
10,2.1181577307836186,0.004037885,342,445.6541757583618,29.325,9632,0.19987434,0.0,39.518192,0.8631865829229355,0.19987434
8,2.101544780984769,0.0046222718,350,456.82836270332336,29.225,9883,0.22204319,0.0,39.516476,0.7594306170940399,0.22204319
8,2.174501218193075,0.0044906703,358,468.0052947998047,30.175,10156,0.23278004,0.0,39.51509,0.8004542887210846,0.23278004
9,2.1974185237074866,0.005127174,367,478.99354434013367,29.1,10393,0.21934363,0.0,39.511723,0.8077105283737183,0.21934363
