# {"t_start": 1552729570.8799193, "env_id": null} 
r,l,t
0.372817,19,1.385223
0.360764,20,1.527345
0.211435,25,1.699015
0.447434,26,1.879151
0.203225,46,2.198431
0.273728,21,2.345361
0.333502,27,2.527735
0.194607,15,2.628922
0.212114,31,2.840951
0.2921,34,3.081513
0.296234,24,3.251102
0.516039,22,3.410098
0.351435,38,3.675941
0.270069,18,3.80351
0.232171,13,3.890823
0.346936,17,4.005898
0.365872,21,4.149711
0.4389,32,4.377398
0.199594,16,4.491573
0.076977,38,4.756178
0.519636,38,5.022509
0.45034,24,5.192239
0.230524,24,5.364603
0.363386,41,5.64415
0.27847,15,5.745705
0.3739,17,5.861846
0.440552,29,6.077624
0.241435,26,6.259329
0.258874,17,6.374532
0.534018,39,6.63557
0.287145,23,6.788707
0.543481,18,6.91419
0.265333,23,7.07877
0.131409,23,7.236252
0.470155,23,7.39319
0.478653,25,7.562054
0.293932,30,7.77235
0.255898,24,7.939348
0.241967,25,8.108163
0.258708,25,8.283086
0.374275,33,9.084956
0.273975,16,9.203109
0.293268,36,9.460557
0.408388,21,9.609455
0.447477,21,9.755304
0.221188,33,9.985416
0.317528,28,10.187139
0.190885,19,10.320112
0.21258,26,10.508661
0.187623,17,10.627344
0.220265,30,10.845984
0.234514,48,11.187548
0.602104,19,11.32412
0.076572,15,11.43248
0.304105,30,11.64876
0.362658,24,11.823926
0.249177,25,12.008491
0.416979,17,12.144419
0.220633,19,12.27914
0.419281,17,12.396551
0.314711,31,12.609762
0.374527,24,12.780183
0.286599,14,12.882155
0.090316,23,13.042392
0.314925,29,13.246358
0.500941,27,13.487861
0.461184,17,13.609721
0.199514,29,13.82482
0.253184,23,14.012922
0.107526,27,14.299638
0.398239,48,14.696353
0.17215,28,14.905008
0.111081,15,15.021241
0.330309,26,15.251925
0.334559,18,15.390983
0.169475,19,15.527883
0.387093,17,15.682908
0.269608,27,15.875746
0.25039,19,16.015136
0.343868,29,16.242191
0.304171,23,16.409735
0.387689,24,16.636234
0.304468,14,16.951976
0.45928,21,17.126002
0.422533,46,17.462074
0.378623,33,17.695269
0.351226,36,17.985304
0.234879,18,18.121322
0.249401,22,18.28912
0.247873,27,18.486221
0.372557,59,18.960141
0.436482,24,19.140763
0.341958,16,19.267005
0.168324,26,19.454955
0.365692,19,19.593316
0.231394,28,19.802135
0.503288,24,19.974238
0.155314,18,20.111561
0.290503,36,20.379101
0.426564,14,20.487684
0.217855,17,20.610821
0.356353,31,20.859771
0.255056,27,21.058331
0.409111,30,21.339268
0.573016,33,21.601905
0.278085,21,21.748439
0.281454,34,22.016705
0.320147,19,22.148023
0.702871,34,22.394315
0.39466,28,22.60214
0.219721,16,22.718342
0.209372,17,22.836835
0.485711,35,23.089329
0.313944,20,23.234651
0.38782,50,23.597271
0.406729,30,23.816065
0.244319,18,23.950977
0.396305,20,24.178158
0.505088,29,24.495833
0.176706,15,24.665729
0.584994,32,25.13508
0.214065,17,25.257437
0.237284,24,25.434149
0.381511,24,25.606324
0.491821,26,25.794271
0.370948,17,25.913042
0.276353,22,26.071146
0.230421,34,26.313659
0.287291,20,26.459402
0.146321,52,26.831902
0.19353,33,27.070111
0.281649,19,27.203151
0.221733,26,27.393413
0.327773,32,27.62291
0.222135,15,27.727043
0.073391,35,27.970723
0.161976,21,28.120385
0.272248,22,28.281685
0.256948,14,28.384912
0.362473,16,28.50417
0.394501,32,28.731832
